FREQUENCY [Hz],MAG [O],PHASE [deg]
<segment> 1/(j*w*.2e-12)     # .2 pF load (open)
520637.682,10.4779,88.3494
530625.568,10.6765,88.3624
540805.062,10.8792,88.3764
551179.838,11.0854,88.3838
561753.643,11.2927,88.3947
572530.296,11.5084,88.4094
583513.687,11.7263,88.4166
594707.784,11.9473,88.4204
606116.627,12.1744,88.4461
617744.337,12.4047,88.443
629595.112,12.638,88.462
641673.232,12.878,88.4668
653983.058,13.1189,88.4648
666529.035,13.3683,88.4769
679315.693,13.6214,88.4913
692347.65,13.8794,88.5035
705629.612,14.1398,88.5064
719166.373,14.4103,88.5217
732962.824,14.6824,88.5244
747023.944,14.9602,88.5376
761354.813,15.2441,88.5418
775960.604,15.5305,88.548
790846.592,15.8265,88.5561
806018.152,16.1266,88.5702
821480.762,16.4323,88.5743
837240.007,16.7433,88.5874
853301.575,17.061,88.5865
869671.269,17.3845,88.5985
886354.997,17.7151,88.606
903358.785,18.0518,88.613
920688.773,18.394,88.6201
938351.219,18.7421,88.6273
956352.5,19.0978,88.6377
974699.116,19.4606,88.6409
993397.694,19.8297,88.6472
1012454.983,20.2034,88.6577
1031877.867,20.5876,88.6688
1051673.359,20.9808,88.6721
1071848.606,21.3757,88.6794
1092410.894,21.7833,88.6833
1113367.647,22.1972,88.695
1134726.435,22.6189,88.6946
1156494.968,23.0493,88.705
1178681.107,23.4892,88.7117
1201292.864,23.9338,88.7108
1224338.404,24.388,88.7255
1247826.048,24.8528,88.7243
1271764.278,25.3252,88.7342
1296161.738,25.805,88.74
1321027.238,26.2976,88.7426
1346369.756,26.7998,88.7498
1372198.443,27.3071,88.7509
1398522.627,27.8289,88.7588
1425351.812,28.359,88.7643
1452695.687,28.8982,88.7673
1480564.126,29.4489,88.7738
1508967.191,30.0085,88.7774
1537915.139,30.5806,88.782
1567418.423,31.1634,88.7848
1597487.697,31.7606,88.7905
1628133.818,32.3639,88.7957
1659367.852,32.9843,88.7973
1691201.079,33.613,88.8039
1723644.993,34.2547,88.8036
1756711.309,34.9073,88.8114
1790411.967,35.5741,88.8105
1824759.137,36.2536,88.8143
1859765.222,36.9495,88.8155
1895442.861,37.6538,88.8229
1931804.939,38.375,88.8256
1968864.584,39.1075,88.8228
2006635.18,39.8579,88.8274
2045130.365,40.6212,88.8283
2084364.04,41.4012,88.8297
2124350.371,42.194,88.8292
2165103.798,43.0018,88.8282
2206639.037,43.8258,88.8302
2248971.086,44.664,88.8266
2292115.23,45.5241,88.8265
2336087.05,46.3962,88.8237
2380902.422,47.2893,88.8288
2426577.531,48.197,88.8244
2473128.868,49.1221,88.8196
2520573.244,50.0669,88.8229
2568927.79,51.029,88.8193
2618209.967,52.0141,88.8162
2668437.571,53.0099,88.8119
2719628.739,54.0342,88.8083
2771801.955,55.0742,88.8059
2824976.06,56.1322,88.7979
2879170.254,57.2174,88.7957
2934404.107,58.3196,88.789
2990697.562,59.4467,88.7843
3048070.949,60.5943,88.7813
3106544.984,61.7644,88.7696
3166140.781,62.9536,88.7624
3226879.862,64.1723,88.7591
3288784.157,65.413,88.7486
3351876.022,66.6814,88.7408
3416178.237,67.9708,88.7325
3481714.023,69.2902,88.7245
3548507.044,70.6339,88.7127
3616581.419,72.0022,88.7013
3685961.729,73.3933,88.6919
3756673.027,74.8262,88.6819
3828740.847,76.2784,88.6652
3902191.213,77.757,88.6577
3977050.646,79.2762,88.642
4053346.179,80.8172,88.6269
4131105.362,82.3942,88.6194
4210356.272,83.9914,88.6046
4291127.528,85.6317,88.588
4373448.296,87.3043,88.571
4457348.301,89.0062,88.5543
4542857.839,90.7622,88.5398
4630007.788,92.5279,88.521
4718829.616,94.3417,88.4976
4809355.399,96.1863,88.4796
4901617.823,98.0693,88.4582
4995650.204,99.9972,88.4399
5091486.498,101.964,88.4188
5189161.311,103.973,88.3969
5288709.912,106.028,88.3733
5390168.248,108.105,88.3497
5493572.956,110.241,88.3255
5598961.374,112.424,88.2978
5706371.558,114.644,88.2722
5815842.293,116.925,88.2425
5927413.11,119.233,88.2158
6041124.295,121.588,88.1842
6157016.91,124.017,88.154
6275132.802,126.482,88.1262
6395514.624,128.996,88.0963
6518205.844,131.56,88.0676
6643250.766,134.192,88.0371
6770694.544,136.882,88.001
6900583.196,139.612,87.9709
7032963.626,142.431,87.9298
7167883.635,145.297,87.8961
7305391.942,148.248,87.8563
7445538.201,151.215,87.8203
7588373.019,154.281,87.7832
7733947.973,157.39,87.7495
7882315.629,160.618,87.6982
8033529.563,163.878,87.656
8187644.376,167.204,87.6056
8344715.721,170.649,87.5553
8504800.314,174.135,87.5146
8667955.961,177.713,87.4587
8834241.578,181.371,87.4139
9003717.209,185.085,87.3595
9176444.052,188.955,87.2992
9352484.478,192.871,87.2409
9531902.055,196.876,87.1786
9714761.568,200.995,87.1205
9901129.05,205.188,87.057
10091071.795,209.541,86.9865
10284658.392,213.971,86.918
